RegionName,City,State,Current_Price,Affordability_Ratio_2023,Clasificacion_IA,Confianza,Datos_Clave,Latitude,Longitude
79366,Ransom Canyon,TX,372339.3384299515,3.254468943830568,Regular - Estable,99.91,Growth24: 1.3% | Vacancy: 6.4%,33.5334,-101.6796
77494,Katy,TX,496241.9553459833,3.2100188184564384,Barata - Alto Potencial,98.0,Growth24: 3.2% | Vacancy: 1.4%,29.7404,-95.8304
77449,Katy,TX,278857.58108786144,3.284482481452605,Regular - Estable,100.0,Growth24: -1.2% | Vacancy: 1.2%,29.8323,-95.736
77084,Houston,TX,274553.21540893894,3.617884480349943,Regular - Estable,100.0,Growth24: -0.7% | Vacancy: 2.6%,29.844,-95.6623
79936,El Paso,TX,214156.66982796465,2.9895315118639774,Barata - Alto Potencial,100.0,Growth24: 6.5% | Vacancy: 1.1%,31.7677,-106.3016
78660,Pflugerville,TX,396772.0971039334,4.034269873075013,Regular - Estable,99.47,Growth24: -7.1% | Vacancy: 1.5%,30.4421,-97.6299
78873,Leakey,TX,329653.19632437103,7.489673848740122,Cara - Sobrevalorada,99.5,Growth24: -0.1% | Vacancy: 35.1%,29.769,-99.7479
78932,Burton,TX,672734.8954162226,7.102290095282983,Cara - Sobrevalorada,99.0,Growth24: -3.9% | Vacancy: 36.5%,30.1404,-96.6861
76239,Forestburg,TX,490222.1828573922,6.600900247567807,Regular - Estable,93.92,Growth24: 7.4% | Vacancy: 9.7%,33.5398,-97.5848
78609,Buchanan Dam,TX,383413.5471891237,7.21972225513206,Cara - Sobrevalorada,100.0,Growth24: -8.8% | Vacancy: 19.1%,30.7538,-98.4295
75932,Burkeville,TX,202177.6320425872,3.436582602841668,Cara - Sobrevalorada,97.0,Growth24: 1.8% | Vacancy: 39.7%,31.0099,-93.6585
79508,Buffalo Gap,TX,233418.12505069817,2.811469380423949,Barata - Alto Potencial,92.94,Growth24: 2.9% | Vacancy: 5.0%,32.2894,-99.8103
78663,Round Mountain,TX,879985.135081075,5.300043442781595,Barata - Alto Potencial,83.93,Growth24: 5.3% | Vacancy: 5.4%,30.4429,-98.4365
77951,Victoria,TX,112736.50254860708,3.19009970956682,Regular - Estable,97.5,Growth24: 0.0% | Vacancy: 9.7%,28.6495,-96.8945
77482,Van Vleck,TX,211199.9139125892,3.2081955327847047,Regular - Estable,99.34,Growth24: -4.0% | Vacancy: 9.8%,29.016,-95.8905
77046,Houston,TX,329737.5090719504,3.230493711960419,Regular - Estable,97.46,Growth24: -5.4% | Vacancy: 9.5%,29.733,-95.4306
79563,Tye,TX,123359.41356541857,2.106064934751481,Regular - Estable,98.45,Growth24: -4.8% | Vacancy: 11.1%,32.4477,-99.8684
79526,Hermleigh,TX,188984.2258261903,2.6493364641396204,Regular - Estable,99.91,Growth24: -2.9% | Vacancy: 8.7%,32.6294,-100.7547
76890,Zephyr,TX,375119.0203117391,6.044324747624886,Regular - Estable,97.97,Growth24: 0.4% | Vacancy: 9.1%,31.6694,-98.8182
79343,Lorenzo,TX,102875.8882912704,1.4586233999903888,Regular - Estable,98.0,Growth24: -1.8% | Vacancy: 7.6%,33.6666,-101.5277
77983,Seadrift,TX,188345.2181060541,1.9393232544890333,Regular - Estable,99.84,Growth24: -2.8% | Vacancy: 11.0%,28.4101,-96.7023
76673,Mount Calm,TX,271888.2818471387,4.063478422842064,Barata - Alto Potencial,90.52,Growth24: 3.0% | Vacancy: 9.3%,31.7575,-96.8944
77845,College Station,TX,362338.2934698509,3.808408052130273,Barata - Alto Potencial,99.48,Growth24: 3.7% | Vacancy: 3.5%,30.5118,-96.3171
77095,Houston,TX,333871.43475403124,3.463859577590189,Regular - Estable,99.96,Growth24: 0.1% | Vacancy: 1.4%,29.8941,-95.6481
77407,Richmond,TX,391928.512053102,3.8047163984314953,Regular - Estable,99.95,Growth24: 0.3% | Vacancy: 0.7%,29.6625,-95.7272
76179,Fort Worth,TX,329678.50685911626,3.232021400778176,Regular - Estable,100.0,Growth24: -4.3% | Vacancy: 1.3%,32.9074,-97.4257
75228,Dallas,TX,291712.9295913518,4.901608429340548,Regular - Estable,99.5,Growth24: 0.2% | Vacancy: 4.4%,32.825,-96.6784
76028,Burleson,TX,343490.5470645621,3.473129306791088,Regular - Estable,99.96,Growth24: -1.3% | Vacancy: 1.4%,32.5316,-97.309
75211,Cockrell Hill,TX,235619.97908864403,4.214401857783394,Regular - Estable,99.91,Growth24: -1.0% | Vacancy: 2.2%,32.7319,-96.9057
78572,Mission,TX,193423.9156278816,3.3423258382800665,Barata - Alto Potencial,94.48,Growth24: 5.1% | Vacancy: 7.8%,26.2159,-98.3253
79912,El Paso,TX,308236.6843817952,3.9164959292812096,Barata - Alto Potencial,99.98,Growth24: 5.4% | Vacancy: 4.3%,31.8383,-106.5364
75002,Allen,TX,481927.82735775696,3.6660127118368577,Regular - Estable,93.46,Growth24: 1.9% | Vacancy: 1.1%,33.0934,-96.6454
76063,Mansfield,TX,442033.7560521758,3.9339931680363134,Regular - Estable,99.96,Growth24: -0.5% | Vacancy: 1.7%,32.5773,-97.1416
77083,Houston,TX,267731.17825595656,4.017429028538071,Regular - Estable,99.98,Growth24: 1.3% | Vacancy: 1.7%,29.6947,-95.6511
76244,Fort Worth,TX,391564.4809846362,3.3791405109753727,Regular - Estable,99.96,Growth24: -2.3% | Vacancy: 2.0%,32.931,-97.2843
75035,Frisco,TX,678704.8182639447,4.012144072984343,Barata - Alto Potencial,99.0,Growth24: 3.3% | Vacancy: 1.3%,33.1377,-96.7524
77459,Missouri City,TX,403086.2398345856,2.976082016928645,Regular - Estable,100.0,Growth24: 1.0% | Vacancy: 1.3%,29.5704,-95.5423
78641,Leander,TX,454868.4996253771,3.8983665167856674,Regular - Estable,99.83,Growth24: -8.8% | Vacancy: 0.9%,30.5835,-97.8575
77373,Spring,TX,248389.6725286808,2.915726613342309,Regular - Estable,100.0,Growth24: -1.1% | Vacancy: 1.5%,30.0532,-95.3773
78249,San Antonio,TX,305910.1110018603,3.8647121580891977,Regular - Estable,100.0,Growth24: -0.7% | Vacancy: 2.3%,29.5612,-98.6117
77072,Houston,TX,206698.21513152515,4.065990593329156,Regular - Estable,99.44,Growth24: 1.8% | Vacancy: 2.9%,29.699,-95.5862
75040,Garland,TX,291279.5429912749,3.9148046287170817,Regular - Estable,98.91,Growth24: 1.1% | Vacancy: 1.7%,32.9227,-96.6248
